Date,Open,High,Low,Close,Adj Close,Volume
2023-08-23,145.763000,145.813004,144.580002,145.763000,145.763000,0
2023-08-24,144.673004,145.947006,144.621002,144.673004,144.673004,0
2023-08-25,146.067001,146.604996,145.733994,146.067001,146.067001,0
2023-08-28,146.531006,146.716003,146.278000,146.531006,146.531006,0
2023-08-29,146.464005,147.343994,145.852005,146.464005,146.464005,0
2023-08-30,145.988007,146.522995,145.557999,145.988007,145.988007,0
2023-08-31,146.098999,146.190994,145.531006,146.098999,146.098999,0
2023-09-01,145.473007,146.227005,144.481995,145.473007,145.473007,0
2023-09-04,146.057007,146.490005,146.041000,146.057007,146.057007,0
2023-09-05,146.542999,147.716003,146.498001,146.542999,146.542999,0
2023-09-06,147.470993,147.796005,147.037003,147.470993,147.470993,0
2023-09-07,147.709000,147.865005,147.057007,147.709000,147.709000,0
2023-09-08,147.330994,147.742004,146.686996,147.330994,147.330994,0
2023-09-11,147.113007,147.100006,145.912994,147.113007,147.113007,0
2023-09-12,146.677994,147.218994,146.473007,146.677994,146.677994,0
2023-09-13,147.158005,147.615005,147.112000,147.158005,147.158005,0
2023-09-14,147.345993,147.537003,147.026993,147.345993,147.345993,0
2023-09-15,147.481995,147.949005,147.341003,147.481995,147.481995,0
2023-09-18,147.867996,147.860992,147.559998,147.867996,147.867996,0
2023-09-19,147.604996,147.889999,147.514999,147.604996,147.604996,0
2023-09-20,147.742004,148.162994,147.623001,147.742004,147.742004,0
2023-09-21,148.320999,148.447998,147.324997,148.320999,148.320999,0
2023-09-22,147.643997,148.404007,147.529007,147.643997,147.643997,0
2023-09-25,148.434006,148.944000,148.285004,148.434006,148.434006,0
2023-09-26,148.811005,149.175995,148.707993,148.811005,148.811005,0
2023-09-27,149.044998,149.494995,148.865997,149.044998,149.044998,0
2023-09-28,149.498001,149.542007,149.164001,149.498001,149.498001,0
2023-09-29,149.337006,149.445999,148.531006,149.337006,149.337006,0
2023-10-02,149.539993,149.863998,149.464996,149.539993,149.539993,0
2023-10-03,149.850998,150.141998,148.712006,149.850998,149.850998,0
2023-10-04,149.192001,149.306000,148.740005,149.192001,149.192001,0
2023-10-05,148.966003,149.100006,148.306000,148.966003,148.966003,0
2023-10-06,148.462997,149.488007,148.464996,148.462997,148.462997,0
2023-10-09,149.160004,149.218002,148.522995,149.160004,149.160004,0
