Date,Open,High,Low,Close,Adj Close,Volume
2023-08-23,0.642800,0.647220,0.641180,0.642800,0.642800,0
2023-08-24,0.648059,0.648900,0.642352,0.648059,0.648059,0
2023-08-25,0.641396,0.643828,0.638240,0.641396,0.641396,0
2023-08-28,0.641671,0.643791,0.640280,0.641671,0.641671,0
2023-08-29,0.642818,0.646900,0.640210,0.642818,0.642818,0
2023-08-30,0.647660,0.652061,0.645170,0.647660,0.647660,0
2023-08-31,0.647878,0.650680,0.646249,0.647878,0.647878,0
2023-09-01,0.648841,0.651839,0.644410,0.648841,0.648841,0
2023-09-04,0.645286,0.648000,0.645091,0.645286,0.645286,0
2023-09-05,0.645810,0.646287,0.635841,0.645810,0.645810,0
2023-09-06,0.637540,0.640450,0.635800,0.637540,0.637540,0
2023-09-07,0.638300,0.639470,0.636280,0.638300,0.638300,0
2023-09-08,0.637740,0.641499,0.636850,0.637740,0.637740,0
2023-09-11,0.639799,0.644900,0.639010,0.639799,0.639799,0
2023-09-12,0.643200,0.644000,0.641071,0.643200,0.643200,0
2023-09-13,0.642818,0.643418,0.638800,0.642818,0.642818,0
2023-09-14,0.642162,0.645730,0.642040,0.642162,0.642162,0
2023-09-15,0.643240,0.647417,0.643232,0.643240,0.643240,0
2023-09-18,0.644050,0.645000,0.641830,0.644050,0.644050,0
2023-09-19,0.643960,0.647500,0.642850,0.643960,0.643960,0
2023-09-20,0.646600,0.650500,0.644841,0.646600,0.646600,0
2023-09-21,0.643610,0.644081,0.638798,0.643610,0.643610,0
2023-09-22,0.640960,0.646500,0.640451,0.640960,0.640960,0
2023-09-25,0.644100,0.644704,0.640490,0.644100,0.644100,0
2023-09-26,0.642200,0.643030,0.638820,0.642200,0.642200,0
2023-09-27,0.639386,0.640931,0.636200,0.639386,0.639386,0
2023-09-28,0.634760,0.642600,0.634909,0.634760,0.634760,0
2023-09-29,0.642797,0.650300,0.642170,0.642797,0.642797,0
2023-10-02,0.643720,0.644704,0.636850,0.643720,0.643720,0
2023-10-03,0.636270,0.636500,0.628750,0.636270,0.636270,0
